Ferramenta,Data adicionado,Descrição,Free,Online,Status,link,Área
ARtool,13/04/2022   (BRT),coleção de algoritmos e ferramentas para mineração de regras de associação em bancos de dados binários. Distribuído sob a Licença Pública Geral GNU.,Free,,Ativo,http://www.cs.umb.edu/~laur/ARtool/,Regras de associação
Dhiti,13/04/2022   (BRT),fornecer uma API para mineração de texto,,,Ativo,,"Análise de texto, mineração de texto e recuperação de informações"
Viscovery,13/04/2022   (BRT),"representação visual intuitiva, exploração e modelagem de distribuições de dados complexos, com base em mapas auto-organizáveis ​​e estatísticas clássicas.",,,Ativo,http://www.viscovery.net/,Visualização
Network Workbench,13/04/2022   (BRT),"um kit de ferramentas de análise, modelagem e visualização de rede em grande escala para pesquisas biomédicas, de ciências sociais e físicas.",Free,,Ativo,http://nwb.slis.indiana.edu/,"Análise de gráficos e redes sociais, links e visualização"
Linguamatics,13/04/2022   (BRT),"oferecendo processamento de linguagem natural (NLP), abordagem de mecanismo de pesquisa, relatórios intuitivos e plug-in de conhecimento de domínio.",,,Ativo,http://www.linguamatics.com/,"Análise de texto, mineração de texto e recuperação de informações"
XLSTAT,13/04/2022   (BRT),"add-on de análise de dados para MS Excel, incorpora muitos recursos estatísticos, mineração de dados e ferramentas de aprendizado de máquina. mais de 200 análises de dados e funções estatísticas para Microsoft Excel.",,,Ativo,http://www.xlstat.com/en/home/,Análise Estatística
Expert System,13/04/2022   (BRT),usando a plataforma COGITO proprietária para a compreensão semântica da linguagem para fazer a gestão do conhecimento de informações não estruturadas.,,,Ativo,http://www.expertsystem.net/,"Análise de texto, mineração de texto e recuperação de informações"
AlterWind Log Analyzer Lite,13/04/2022   (BRT),"gera rapidamente todos os relatórios tradicionais, suportando mais de 430 mecanismos de pesquisa de 120 países diferentes.",Free,,Ativo,http://www.alterwind.com/loganalyzer/log-analyzer-lite.html,Análise de mídia social
Previa Classpad,13/04/2022   (BRT),"fornece um ambiente interativo para classificação usando redes neurais, árvores de decisão e redes bayesianas.",,,Ativo,http://www.elseware.fr/,Classificação: Abordagens múltiplas
ODINText,13/04/2022   (BRT),plataforma de software de análise de texto completa para insights do consumidor e profissionais de atendimento ao cliente.,,,Ativo,http://www.odintext.com/,"Análise de texto, mineração de texto e recuperação de informações"
GGobi,13/04/2022   (BRT),próxima edição do xgobi.,Free,,Ativo,http://www.ggobi.org/,Visualização
Mozenda,13/04/2022   (BRT),"More-Zenful-Data, mineração de conteúdo da web.",,,Ativo,http://www.mozenda.com/,Mineração de conteúdo da web
XLSTAT,13/04/2022   (BRT),"add-on de análise de dados para MS Excel, incorpora muitos recursos estatísticos, mineração de dados e ferramentas de aprendizado de máquina. mais de 200 análises de dados e funções estatísticas para Microsoft Excel.",,,Ativo,http://www.xlstat.com/,Suites/Plataformas
Tree-based Pipeline Optimization Tool (TPOT),13/04/2022   (BRT),uma ferramenta Python que cria e otimiza automaticamente pipelines de aprendizado de máquina usando programação genética. Protótipo de pesquisa.,,,Ativo,https://github.com/rhiever/tpot,Ciência de Dados automatizada
Buzzlogix,13/04/2022   (BRT),ajuda a permitir que desenvolvedores e empresas criem aplicativos de dados mais inteligentes por meio de um processamento de linguagem natural baseado em SaaS e APIs de aprendizado de máquina.,,online,Ativo,https://www.buzzlogix.com/text-analysis/,"Análise de texto, mineração de texto e recuperação de informações"
DataRPM,13/04/2022   (BRT),A plataforma Cognitive Data Science automatiza e operacionaliza o aprendizado de máquina para resolver problemas críticos de negócios para internet industrial rapidamente. Oferecendo resposta a perguntas em linguagem natural e modelagem automática de dados. ,,,Ativo,http://datarpm.com/,"Análise de texto, mineração de texto e recuperação de informações"
RCloud,13/04/2022   (BRT),"uma plataforma baseada na web para análise, visualização e colaboração usando R, desenvolvida pela AT&T Research.",Free,,Ativo,http://stats.research.att.com/RCloud/,Visualização
TIBCO Spotfire,13/04/2022   (BRT),plataforma de visualização de classe empresarial.,,,Ativo,http://spotfire.tibco.com/,Visualização
Encompass,13/04/2022   (BRT),uma plataforma para visualizar informações comerciais de fontes regulatórias em serviços bancários e profissionais.,,,Ativo,http://www.encompasscorporation.com/,Visualização
Calumo - Business Intelligence and Corporate Performance Management Software,13/04/2022   (BRT),"incluindo painéis, relatórios, análises, planejamento, previsão, consolidação e modelagem no Microsoft SQL Server Analysis Services.",,,Ativo,http://www.calumo.com/,"BI, banco de dados e OLAP"
Azmy SuperQuery,13/04/2022   (BRT),inclui localizador de regras de associação.,,,Ativo,http://www.azmy.com/,Regras de associação
Information Crawler,13/04/2022   (BRT),fornece ferramentas e serviços gratuitos de recuperação de informações.,,,Ativo,http://www.informationcrawler.com/,Pesquisa na Web
Microsoft Distributed Machine Learning Toolkit DMTK,13/04/2022   (BRT),"código aberto, inclui estrutura que suporta paralelização de dados, LightLDA, algoritmo de modelo de tópico e algoritmo de incorporação de palavras distribuídas (multisense).",Free,,Ativo,http://www.dmtk.io/index.html,"Análise de texto, mineração de texto e recuperação de informações"
VisiStat,13/04/2022   (BRT),,,,Ativo,http://www.visistat.com/pricing.php,Análise de mídia social
MedCalc,13/04/2022   (BRT),Programa estatístico do Windows para pesquisadores biomédicos,,,Ativo,,"Classificação: Análise, ROC"
WINROSA,13/04/2022   (BRT),"gera regras fuzzy automaticamente, com base no método ROSA fuzzy (Análise Estatística Orientada a Regras).",,,Ativo,http://www.mitgmbh.de/,"Classificação: Genética, Lógica Fuzzy e outros"
OpenRefine (ex-Google Refine),13/04/2022   (BRT),"uma ferramenta poderosa para trabalhar com dados bagunçados, limpando-os, transformando-os de um formato em outro, estendendo-os com serviços da web e vinculando-os a bancos de dados como o Freebase.",,,Ativo,http://openrefine.org/,"Transformação de dados, limpeza de dados"
jwanalytics,13/04/2022   (BRT),"um utilitário Java para o armazenamento de informações em um modelo dimensional, útil para armazenar dados do Web Analytics para aplicativos da web Java",,,Ativo,,Mineração de uso da web
GraphInsight,13/04/2022   (BRT),explore seus gráficos por meio de visualizações 2D e 3D de alta qualidade.,,,Ativo,http://www.graphinsight.com/,"Análise de gráficos e redes sociais, links e visualização"
Easy Data Transform,13/04/2022   (BRT),"com fácil combinação, limpeza e reformatação de dados para Windows e Mac.",,,Ativo,https://www.easydatatransform.com/,"Transformação de dados, limpeza de dados"
AT-Sigma Data Chopper,13/04/2022   (BRT),para análise de bancos de dados e encontrar relações causais.,,,Ativo,http://www.atsigma.com/,Classificação: Bayesiano
Collarity,13/04/2022   (BRT),O módulo de recomendação apresenta automaticamente aos visitantes da web sugestões de conteúdo relevante.,,,Ativo,http://www.collarity.com/,Serviços de recomendações
MiningMart platform,13/04/2022   (BRT),"para a preparação de dados relacionais para Knowledge Discovery, gratuitos para pesquisas e aplicações não comerciais.",,,Ativo,http://mmart.cs.uni-dortmund.de/,"Transformação de dados, limpeza de dados"
Google Analytics,13/04/2022   (BRT),,,online,Ativo,http://www.google.com/analytics/features.html,Análise de mídia social
iQ4bis,13/04/2022   (BRT),"Provedor de software de inteligência de negócios, incluindo relatórios de vendas, análise de estoque, orçamento e planejamento financeiro e um cartão de pontuação do fornecedor.",,,Ativo,http://www.iq4bis.com/,"BI, banco de dados e OLAP"
Xpertrule Miner 4.0,13/04/2022   (BRT),"(Attar Software) apresenta transformação de dados, árvores de decisão, regras de associação e clustering em conjuntos de dados de grande escala.",,,Ativo,http://www.attar.com/,Regras de associação
Omniture,13/04/2022   (BRT),,,,Ativo,http://www.omniture.com/products/web_analytics/sitecatalyst,Análise de mídia social
Alyuda NeuroIntelligence,13/04/2022   (BRT),suporta todos os estágios de projeto e aplicação de rede neural.,,,Ativo,http://www.alyuda.com/neural-networks-software.htm,Classificação: Rede neural
OC1,13/04/2022   (BRT),valores de recursos contínuos do sistema de árvore de decisão,,,Ativo,,Classificação: Árvore de decisão
Partek,13/04/2022   (BRT),"reconhecimento de padrões, visualização interativa e sistema de modelagem e análise estatística.",,,Ativo,http://www.partek.com/,Visualização
Scrapy Cloud,13/04/2022   (BRT),permite que os usuários do Scrapy / Portia rastreiem cerca de 3 bilhões de páginas / mês e oferece um plano gratuito.,,,Ativo,http://scrapinghub.com/platform/,Mineração de conteúdo da web
PolyAnalyst,13/04/2022   (BRT),"inclui uma árvore de decisão de ganho de informação entre seus 11 algoritmos. suporta árvore de decisão, regras de lógica difusa e outros algoritmos de classificação. oferece armazenamento em cluster baseado no algoritmo de localização de anomalias (LA). inclui software para análise e visualização de links.",,,Ativo,http://www.megaputer.com/,Classificação: Árvore de decisão
TeeChart,13/04/2022   (BRT),"Biblioteca de componentes gráficos de clustering para frameworks Delphi e C ++, VCL e Firemonkey.",,,Ativo,http://steema.com/wp/blog/2015/06/01/clustering-visualization/,Cluster e Segmentação
IBM InfoSphere Warehouse Enterprise Edition,13/04/2022   (BRT),"incluindo análises avançadas, OLAP, mineração de dados e análise de texto.",,,Ativo,http://www.ibm.com/software/data/infosphere/warehouse/enterprise.html,"Análise de texto, mineração de texto e recuperação de informações"
dotplot designer,13/04/2022   (BRT),a plataforma de análise de nuvem com interface gráfica de usuário para projetar modelos de análise de dados e visualizações.,,,Ativo,http://dotplot.com/,Serviços de recomendações
Wizard,13/04/2022   (BRT),um pacote de visualização e estatísticas fácil de usar para Mac OS X.,,,Ativo,http://www.wizardmac.com/,Visualização
Idiro SNA Plus,13/04/2022   (BRT),"plataforma de análise de rede social, suporta Hadoop e Big Data.",,,Ativo,http://www.idiro.com/,"Análise de gráficos e redes sociais, links e visualização"
Pentaho open-source BI suite,13/04/2022   (BRT),"incluindo relatórios, análises, painéis, integração de dados e mineração de dados com base em Weka.",,,Ativo,http://www.pentaho.com/,Suites/Plataformas
LingPipe,13/04/2022   (BRT),é um conjunto de bibliotecas Java para a análise linguística da linguagem humana.,Free,,Ativo,http://alias-i.com/lingpipe/,"Análise de texto, mineração de texto e recuperação de informações"
i2 Analyst's Workstation,13/04/2022   (BRT),software i2 Inc. para análise de incidentes de volume,,,Ativo,,"Análise de gráficos e redes sociais, links e visualização"
Trakker,13/04/2022   (BRT),é um software orientado a dados personalizável para identificar pontos fracos do processo por meio de análise de dados. Os dados são agregados para permitir que você gerencie por exceção.,,,Ativo,https://gotrakker.com/,"Detecção de anomalia, desvio de fraude"
NVIVO,13/04/2022   (BRT),Pacote para análise de dados qualitativos (QAS).,,,Ativo,,Análise de dados qualitativos
Advizor Analyst,13/04/2022   (BRT),visualização interativa de dados para negócios,,,Ativo,http://www.advizorsolutions.com/,Visualização
Atlas.ti,13/04/2022   (BRT),Software para análise de dados qualitativos,,,Ativo,,"Análise de texto, mineração de texto e recuperação de informações"
Antaeus,13/04/2022   (BRT),visualização de dados com base na ideia de uma matriz de gráfico de dispersão virtual (gratuita para uso não comercial).,Free,,Ativo,http://www.antaeus-data.com/?free,Visualização
Weka,13/04/2022   (BRT),coleção de algoritmos de aprendizado de máquina para resolver problemas de mineração de dados do mundo real. Ele é escrito em Java e funciona em quase todas as plataformas.,Free,,Ativo,http://www.cs.waikato.ac.nz/ml/weka/index.html,Suites/Plataformas
Molegro Data Modeller,13/04/2022   (BRT),"um aplicativo de plataforma cruzada para mineração de dados, modelagem de dados e visualização de dados.",,,Ativo,http://www.molegro.com/mdm-product.php,Suites/Plataformas
Semantex from Janya Inc.,13/04/2022   (BRT),"sistema de extração de informações de classe empresarial, detectando entidades, atributos, relacionamentos e eventos.",,,Ativo,http://www.janyainc.com/,"Análise de texto, mineração de texto e recuperação de informações"
AutoDiscovery from ButlerScientifics,13/04/2022   (BRT),software inteligente de análise de dados exploratórios que revela relacionamentos complexos em experimentos científicos ou dados de estudos clínicos.,,,Ativo,http://www.butlerscientifics.com/,Ciência de Dados automatizada
Pattern,13/04/2022   (BRT),um módulo de mineração da web para Python,,,Ativo,,Mineração de conteúdo da web
Clarabridge,13/04/2022   (BRT),"software de mineração de texto fornecendo solução ponta a ponta para profissionais de experiência do cliente que desejam transformar o feedback do cliente para melhorias de marketing, serviço e produto.",,,Ativo,http://clarabridge.com/text-analytics,"Análise de texto, mineração de texto e recuperação de informações"
CViz Cluster Visualization,13/04/2022   (BRT),para analisar dados de alta dimensão em conjuntos de dados grandes e complexos.,,,Ativo,http://www.alphaworks.ibm.com/tech/cviz,Visualização
SMILES,13/04/2022   (BRT),"aprendiz de árvore de decisão avançada, com novos critérios de divisão, busca não gananciosa, extração de soluções diferentes, boosting, aprendizagem sensível ao custo e muito mais.",Free,,Ativo,http://www.dsic.upv.es/~flip/smiles/,Classificação: Árvore de decisão
Salford Systems Data Mining Suite,13/04/2022   (BRT),"Árvores de decisão CART, modelagem preditiva MARS, regressão automatizada, classificação e regressão TreeNet, módulos de acesso, preparação, limpeza e relatório de dados, modelagem preditiva RandomForests, clustering e detecção de anomalias.",,,Ativo,http://www.salford-systems.com/,Suites/Plataformas
Enkata,13/04/2022   (BRT),fornecendo uma gama de soluções de nível empresarial para análise de texto.,,,Ativo,http://www.enkata.com/,"Análise de texto, mineração de texto e recuperação de informações"
Connexor Machine,13/04/2022   (BRT),descobre as informações gramaticais e semânticas da linguagem natural.,,,Ativo,http://www.connexor.com/,"Análise de texto, mineração de texto e recuperação de informações"
WizWhy,13/04/2022   (BRT),"encontra automaticamente todas as regras if-then nos dados e as usa para resumir os dados, identificar exceções e gerar previsões para novos casos.",,,Ativo,http://www.wizsoft.com/,"Estimativa, regressão e previsão"
InfoZoom,13/04/2022   (BRT),uma ferramenta de análise de dados visuais fácil de usar que funciona com vários bancos de dados sem consulta SQL.,,,Ativo,http://www.softlakesolutions.com/,"BI, banco de dados e OLAP"
Predictive Dynamix Data Mining Suite,13/04/2022   (BRT),"integra análise estatística, gráfica e ROC com modelos de rede neural, clustering e fuzzy.",,,Ativo,http://www.predx.com/,Classificação: Abordagens múltiplas
Datadex,13/04/2022   (BRT),"fornece limpeza de dados ponta a ponta, catalogação de dados, vinculação de dados, governança de dados, troca de dados e funcionalidade de mesclagem de dados. Nosso objetivo é o aumento de dados, aproveitando os dados existentes e aumentando os tamanhos de amostra ou conjuntos de recursos.",,,Ativo,http://datadex.net/,"Transformação de dados, limpeza de dados"
DataMontage,13/04/2022   (BRT),Biblioteca de gráficos Java para dados multivariados orientados ao tempo.,,,Ativo,http://www.stottlerhenke.com/datamontage,Visualização
Portia,13/04/2022   (BRT),o Visual Web Scraper de código aberto.,Free,,Ativo,https://github.com/scrapinghub/portia,Mineração de conteúdo da web
DEiXTo,13/04/2022   (BRT),"uma ferramenta poderosa para criar ""regras de extração"" (invólucros) que descrevem quais pedaços de dados devem ser extraídos de uma página da web",,,Ativo,,Mineração de conteúdo da web
BLIASoft Knowledge Discovery software,13/04/2022   (BRT),para construir modelos a partir de dados baseados principalmente em lógica fuzzy.,,,Ativo,http://www.bliasoft.com/Eindex.html,"Classificação: Genética, Lógica Fuzzy e outros"
XmdvTool,13/04/2022   (BRT),um pacote de software de domínio público para a exploração visual interativa de conjuntos de dados multivariados.,Free,,Ativo,http://davis.wpi.edu/~xmdv/,Visualização
IBM OpenDX,13/04/2022   (BRT),"Abra o Visualization Data Explorer, estrutura de visualização para animar dados.",Free,,Ativo,http://www.research.ibm.com/dx/,Visualização
AlterWind Log Analyzer Professional,13/04/2022   (BRT),"pacote de estatísticas do site para webmasters profissionais, com recursos de analisador de log padrão e recursos exclusivos para pSEO (Search Engine Optimization) e promoção do site.",,,Ativo,http://www.alterwind.com/loganalyzer/log-analyzer-professional.html,Análise de mídia social
Relational Tools,13/04/2022   (BRT),"simplifique o teste de aplicativos, permitindo mover, editar e comparar conjuntos referencialmente intactos de dados relacionais complexos.",,,Ativo,http://www.princetonsoftech.com/,"Transformação de dados, limpeza de dados"
Black Box BI,13/04/2022   (BRT),"oferecendo análises, painéis e visualizações por meio da nuvem.",,,Ativo,http://www.blackbox-bi.com/,"BI, banco de dados e OLAP"
mnoGoSearch,13/04/2022   (BRT),um motor de busca de código aberto completo para sites da Internet e Intranet.,,,Ativo,http://mnogosearch.org/,Pesquisa na Web
Atlas.ti,13/04/2022   (BRT),Software para análise de dados qualitativos,,,Ativo,,Análise de dados qualitativos
FMiner,13/04/2022   (BRT),um software de web scraping visual com um designer de diagramas.,,,Ativo,http://www.fminer.com/,Mineração de conteúdo da web
BDB Predictive Workbench,13/04/2022   (BRT),uma ferramenta de ciência de dados para aproveitar os algoritmos R e Spark ML.,,,Ativo,https://www.bdbizviz.com/predictive_analysis.html,Suites/Plataformas
Pulcinella,13/04/2022   (BRT),ferramenta para propagação de incertezas por meio de computação local baseada na estrutura de Shenoy e Shafer. (Lisp Comum),Free,,Ativo,http://iridia.ulb.ac.be/pulcinella/Welcome.html,Classificação: Bayesiano
NetMiner,13/04/2022   (BRT),para Análise Exploratória e Visualização de Dados de Rede.,,,Ativo,http://www.netminer.com/,"Análise de gráficos e redes sociais, links e visualização"
WebQL,13/04/2022   (BRT),"para criar aplicativos de extração da Web prontos para uso, como coletor de preços, agregador de informações de patentes, etc.",,,Ativo,http://www.ql2.com/,Mineração de conteúdo da web
Megaputer WebAnalyst,13/04/2022   (BRT),integra os recursos de mineração de dados e texto do software analítico da Megaputer diretamente em seu site.,,,Ativo,http://www.megaputer.com/,Mineração de uso da web
AMADEA,13/04/2022   (BRT),"Extração de dados, transformação e software de relatórios em tempo real",,,Ativo,http://alice-soft.com/,"Transformação de dados, limpeza de dados"
Treparel KMX Big Data Text Analytics & Visualization,13/04/2022   (BRT),"uma solução integrada de agrupamento, classificação e visualização para analisar grandes coleções de texto. plataforma usando a classificação de alto desempenho baseada em SVM. Também para OEM.",,,Ativo,http://treparel.com/,Classificação: Máquina de vetor de suporte (SVM)
PermutMatrix,13/04/2022   (BRT),"software gráfico para análise de agrupamento e seriação, com vários tipos de análise de agrupamento hierárquico e vários métodos para encontrar uma reorganização ideal de linhas e colunas.",Free,,Ativo,http://www.lirmm.fr/~caraux/PermutMatrix/,Cluster e Segmentação
mloss,13/04/2022   (BRT),"software de código aberto de aprendizado de máquina, inclui bibliotecas e componentes.",Free,,Ativo,http://mloss.org/software/,"Bibliotecas, componentes e kits de desenvolvedor"
Darcy Ripper,13/04/2022   (BRT),"um poderoso rastreador da web multi-plataforma Java puro com grande carga de trabalho e recursos de velocidade, com uma GUI separada e fácil de usar para baixar recursos da web. Download grátis.",,,Ativo,http://www.darcyripper.com/,Mineração de conteúdo da web
KNIME,13/04/2022   (BRT),"uma plataforma analítica de código aberto que oferece extensões para análise de texto, atualmente incluindo Stanford NLP, Palladin e Linguamatics. plataforma de mineração de dados de código aberto extensível que implementa o paradigma de pipelining de dados (com base em eclipse).",Free,,Ativo,http://knime.com/,"Análise de texto, mineração de texto e recuperação de informações"
JavaBayes,13/04/2022   (BRT),,Free,,Ativo,http://www.cs.cmu.edu/~javabayes/Home/,Classificação: Bayesiano
Xeno,13/04/2022   (BRT),"InfoCentricity plataforma analítica on-line poderosa e fácil de usar, suportando segmentação, clustering, análise exploratória de dados e desenvolvimento de modelos altamente preditivos.",,,Ativo,http://www.infocentricity.com/,Suites/Plataformas
BigML,13/04/2022   (BRT),oferecendo árvores de decisão e aprendizado de máquina como um serviço.,,,Ativo,https://bigml.com/,Classificação: Árvore de decisão
Sentinel Visualizer,13/04/2022   (BRT),"com os recursos de análise de rede social avançada, fornecendo a capacidade de ver e analisar relacionamentos complexos que existem nos dados.",,,Ativo,http://www.fmsasg.com/,Visualização
Sciengy RPF,13/04/2022   (BRT),"um aplicativo gratuito para mineração de dados com redes neurais auto-organizáveis, com uma interface de usuário conveniente e capacidade de trabalhar com arquivos de texto e dados. (Somente Windows)",Free,,Ativo,https://sourceforge.net/projects/sciengyrpf,"Estimativa, regressão e previsão"
The TrueData COMponent,13/04/2022   (BRT),"funções para padronizar programaticamente seus dados, processá-los foneticamente e gerar uma chave de correspondência.",,,Ativo,http://www.truedata.co.uk/,"Transformação de dados, limpeza de dados"
NAG Data Mining Components,13/04/2022   (BRT),"estatísticas e componentes de aprendizado de máquina para limpeza de dados, transformação e construção de modelo - para a criação de aplicativos com funcionalidade de mineração de dados.",,,Ativo,http://www.nag.com/numeric/DR/DRdescription.asp,"Bibliotecas, componentes e kits de desenvolvedor"
proMISS,13/04/2022   (BRT),imputa valores ausentes em bancos de dados.,,,Ativo,http://www.atlantecsoftware.com/,"Transformação de dados, limpeza de dados"
Data360,13/04/2022   (BRT),"um site onde você pode encontrar, apresentar e compartilhar dados",,,Ativo,,Visualização
Portrait Software from PitneyBowes,13/04/2022   (BRT),um conjunto de ferramentas analíticas para melhorar as interações em tempo real e multicanais com os clientes.,,,Ativo,http://www.portraitsoftware.com/,Suites/Plataformas
SAS Enterprise Miner,13/04/2022   (BRT),"um conjunto integrado que fornece uma interface de usuário amigável para o processo SEMMA (Amostra, Explorar, Modificar, Modelar, Avaliar).",,,Ativo,http://www.sas.com/technologies/analytics/datamining/miner/index.html,Padrões sequenciais e séries temporais
KoDeServer™,13/04/2022   (BRT),"acelere o acesso a dados e as consultas de banco de dados SQL em 60 vezes ou mais, usando a tecnologia de indexação de dados Radix Trees.",,,Ativo,http://www.kodesoftware.com/,"BI, banco de dados e OLAP"
Graphviz,13/04/2022   (BRT),software de visualização de gráficos de código aberto.,Free,,Ativo,http://www.graphviz.org/,Visualização
Treparel KMX Big Data Text Analytics & Visualization,13/04/2022   (BRT),"uma solução integrada de agrupamento, classificação e visualização para analisar grandes coleções de texto. plataforma usando a classificação de alto desempenho baseada em SVM. Também para OEM.",,,Ativo,http://treparel.com/,Cluster e Segmentação
ClustanGraphics3,13/04/2022   (BRT),"análise de cluster hierárquica do topo, com gráficos poderosos",,,Ativo,http://www.clustan.com/,Cluster e Segmentação
PerceptiLabs,13/04/2022   (BRT),"uma GUI para TensorFlow, é uma nova ferramenta de modelagem visual para aprendizado de máquina - basta arrastar e soltar componentes e gerar visualizações e código TensorFlow. Gratuito para desenvolvedores.",,,Ativo,https://www.perceptilabs.com/home,Suites/Plataformas
A1WebStats,13/04/2022   (BRT),"veja detalhes individuais sobre cada visitante do site, incluindo nomes de empresas, palavras-chave, referências e muito mais. Teste grátis por 30 dias.",,,Ativo,http://www.a1webstats.com/,Mineração de uso da web
SPMF,13/04/2022   (BRT),"uma estrutura de mineração de padrão sequencial, de código aberto, escrita em Java, oferece implementações de 52 algoritmos de mineração de dados para: mineração de padrão sequencial, mineração de regra de associação, mineração de conjunto de itens frequente, mineração de regra sequencial e clustering.",,,Ativo,http://www.philippe-fournier-viger.com/spmf/,Padrões sequenciais e séries temporais
SQL Server Data Mining,13/04/2022   (BRT),fornecer demonstrações ao vivo e informações sobre os recursos de data mining do SQL Server.,,,Ativo,http://www.sqlserverdatamining.com/,"BI, banco de dados e OLAP"
Compumine Rule Discovery System,13/04/2022   (BRT),"tem uma cobertura completa de métodos de modelagem preditiva baseados em regras para classificação e regressão, com uma interface amigável.",,,Ativo,http://www.compumine.com/,Classificação: Baseado em regras
VP Student Edition,13/04/2022   (BRT),ferramenta poderosa de mineração de texto e visualização para descobrir conhecimento em resultados de pesquisa de literatura científica e outros bancos de dados de texto estruturados em campo.,,,Ativo,http://www.vpinstitute.org/pages/vpimarketplace.html,"Análise de texto, mineração de texto e recuperação de informações"
Simple Scraper,13/04/2022   (BRT),"Web scraping simplificado - extraia dados de qualquer site da Web em segundos e baixe instantaneamente, copie na nuvem ou crie uma API.",,,Ativo,https://simplescraper.io/,Mineração de conteúdo da web
FDEP,13/04/2022   (BRT),induz dependências funcionais de uma determinada relação de entrada. (GNU C).,Free,,Ativo,http://www.cs.bris.ac.uk/~flach/fdep/,Classificação: Bayesiano
Fionn Murtagh's,13/04/2022   (BRT),Software e recursos de análise multivariada de dados,,online,Ativo,http://www.classification-society.org/csna/mda-sw/,Cluster e Segmentação
Previa Studio,13/04/2022   (BRT),um ambiente interativo especializado para a definição de modelos de previsão.,,,Ativo,http://www.elseware.fr/,"Estimativa, regressão e previsão"
ERBuilder,13/04/2022   (BRT),"uma ferramenta de modelagem de dados + ferramenta de geração de dados de teste realista para Oracle, MS SQL Server, MySQL, PostgreSQL, Firebird, SQLite, Banco de Dados SQL do Azure e Amazon Redshift.",,,Ativo,https://soft-builder.com/erbuilder-data-modeler/,"BI, banco de dados e OLAP"
MCubiX from Diagnos,13/04/2022   (BRT),"uma caixa de ferramentas de mineração de dados completa e acessível, incluindo árvore de decisão, redes neurais, regras de associação, visualização e muito mais.",,,Ativo,http://www.diagnos.ca/,Suites/Plataformas
Generation5 GenVoy,13/04/2022   (BRT),Análise do consumidor sob demanda.,,,Ativo,http://www.generation5.ca/,Suites/Plataformas
Rattle,13/04/2022   (BRT),"um pacote de mineração de dados baseado em linguagem estatística R de código aberto, inclui gráficos, clustering, modelagem e muito mais.",Free,,Ativo,http://rattle.togaware.com/,Suites/Plataformas
Zoom 'n View,13/04/2022   (BRT),as soluções de relatório de plug-in.,,,Ativo,http://www.skygate.dk/,Suites/Plataformas
INTEXT,13/04/2022   (BRT),"Versão MS-DOS do TextQuest, em domínio público desde 2 de janeiro de 2003.",Free,,Ativo,http://www.intext.de/,"Análise de texto, mineração de texto e recuperação de informações"
OfficeReports,13/04/2022   (BRT),"software para análise estatística e visualização de dados, estende e automatiza a funcionalidade do Microsoft Excel, Powerpoint e Word.",,,Ativo,http://www.officereports.com/,Visualização
SmartBundle,13/04/2022   (BRT),uma ferramenta de análise de cesta de compras para desenvolver pacotes e promoções de produtos de varejo lucrativos. (Teste gratuito de 30 dias),,,Ativo,http://www.decidyn.com/home_SmartBundle.php?id=91005,Regras de associação
Antaeus,13/04/2022   (BRT),visualização de dados com base na ideia de uma matriz de gráfico de dispersão virtual (gratuita para uso não comercial).,,,Ativo,http://www.antaeus-data.com/,Visualização
KNIME,13/04/2022   (BRT),"uma plataforma analítica de código aberto que oferece extensões para análise de texto, atualmente incluindo Stanford NLP, Palladin e Linguamatics. plataforma de mineração de dados de código aberto extensível que implementa o paradigma de pipelining de dados (com base em eclipse).",Free,,Ativo,http://www.knime.org/,Suites/Plataformas
Decisionhouse,13/04/2022   (BRT),"fornece extração, gerenciamento, pré-processamento e visualização de dados, além de perfis de clientes, segmentação e exibição geográfica.",,,Ativo,http://www.quadstone.com/,Classificação: Árvore de decisão
CallMiner,13/04/2022   (BRT),solução de análise de fala ouve conversas gravadas para descobrir tendências nas interações agente / cliente,,,Ativo,,Mineração de áudio e video
Text Analysis Info,13/04/2022   (BRT),oferecendo software e links para análise de texto e muito mais,,,Ativo,http://www.textanalysis.info/,"Análise de texto, mineração de texto e recuperação de informações"
Cubist,13/04/2022   (BRT),ferramenta baseada em árvore de decisão para estimar um valor contínuo,,,Ativo,http://www.rulequest.com/,"Estimativa, regressão e previsão"
Alteryx,13/04/2022   (BRT),"oferecendo plataforma Strategic Analytics, incluindo uma versão gratuita do Project Edition.",,,Ativo,http://www.alteryx.com/,Suites/Plataformas
RiverGlass software offers data mining,13/04/2022   (BRT),"análise de dados de streaming, visualização e muito mais.",,,Ativo,http://www.riverglassinc.com/,Suites/Plataformas
Files Search Assistant,13/04/2022   (BRT),pesquisa rápida e eficiente em documentos de texto.,,,Ativo,http://www.aks-labs.com/products/files_search_assistant.htm,"Análise de texto, mineração de texto e recuperação de informações"
Treparel KMX Text Analytics,13/04/2022   (BRT),"oferece pesquisa rápida e poderosa, percepções visuais claras e análises avançadas para profissionais de informação, consumidores de informação e em parcerias OEM.",,,Ativo,http://treparel.com/,"Análise de texto, mineração de texto e recuperação de informações"
Attensity,13/04/2022   (BRT),"oferece um conjunto completo de aplicativos analíticos de texto, incluindo a capacidade de extrair fatos de ""quem"", ""o quê"", ""onde"", ""quando"" e ""por que"" e, em seguida, detalhar para entender pessoas, lugares e eventos e como eles estão relacionados .",,,Ativo,http://www.attensity.com/,"Análise de texto, mineração de texto e recuperação de informações"
